食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
アマランサス　玄穀,343.0 ,12.7 ,6.0,64.9 ,0,,,,,,,
あわ　精白粒,346.0 ,11.2 ,4.4 ,69.7 ,0,,,,,,,
あわ　あわもち,210.0 ,5.1 ,1.3 ,45.3 ,0,,,,,,,
えんばく　オートミール,350.0 ,13.7 ,5.7 ,69.1 ,0,,,,,,,
おおむぎ　七分つき押麦,343.0 ,10.9 ,2.1 ,72.1 ,0,,,,,,,
おおむぎ　押麦　乾,329.0 ,6.7 ,1.5 ,78.3 ,0,,,,,,,
おおむぎ　押麦　めし,118.0 ,2.2 ,0.5 ,28.5 ,0,,,,,,,
おおむぎ　米粒麦,333.0 ,7.0,2.1 ,76.2 ,0,,,,,,,
おおむぎ　大麦めん　乾,343.0 ,12.9 ,1.7 ,68.0,2.8 ,,,,,,,
おおむぎ　大麦めん　ゆで,121.0 ,4.8 ,0.6 ,24.3 ,0.2 ,,,,,,,
おおむぎ　麦こがし,368.0 ,12.5 ,5.0,77.1 ,0,,,,,,,
キヌア　玄穀,344.0 ,13.4 ,3.2 ,69.0,0.1 ,,,,,,,
きび　精白粒,353.0 ,11.3 ,3.3 ,70.9 ,0,,,,,,,
こむぎ　［玄穀］　国産　普通,329.0 ,10.8 ,3.1 ,72.1 ,0,,,,,,,
こむぎ　［玄穀］　輸入　軟質,344.0 ,10.1 ,3.3 ,75.2 ,0,,,,,,,
こむぎ　［玄穀］　輸入　硬質,332.0 ,13.0,3.0,69.4 ,0,,,,,,,
こむぎ　［小麦粉］　薄力粉　1等,349.0 ,8.3 ,1.5 ,75.8 ,0,,,,,,,
こむぎ　［小麦粉］　薄力粉　2等,345.0 ,9.3 ,1.9 ,74.3 ,0,,,,,,,
こむぎ　［小麦粉］　中力粉　1等,337.0 ,9.0,1.6 ,75.1 ,0,,,,,,,
こむぎ　［小麦粉］　中力粉　2等,346.0 ,9.7 ,1.8 ,74.0,0,,,,,,,
こむぎ　［小麦粉］　強力粉　1等,337.0 ,11.8 ,1.5 ,71.7 ,0,,,,,,,
こむぎ　［小麦粉］　強力粉　2等,343.0 ,12.6 ,1.7 ,70.6 ,0,,,,,,,
こむぎ　［小麦粉］　強力粉　全粒粉,320.0 ,12.8 ,2.9 ,68.2 ,0,,,,,,,
